candidate_id,clean_official_index,true_class_id,translation_direction
p01_r01_a_to_b,6455,0,down
p01_r03_a_to_b,4130,0,right
p01_r04_a_to_b,2024,0,right
p01_r06_a_to_b,7150,0,left
p01_r07_a_to_b,7372,0,right
p01_r09_a_to_b,7009,0,left
p01_r11_a_to_b,3437,0,up
p01_r12_a_to_b,4615,0,right
p01_r14_a_to_b,5999,0,up
p01_r15_a_to_b,4675,0,down
p01_r16_a_to_b,4785,0,down
p01_r18_a_to_b,1175,0,down
p01_r19_a_to_b,1648,0,left
p01_r21_a_to_b,4893,0,left
p01_r22_a_to_b,1977,0,down
p01_r23_a_to_b,6986,0,up
p01_r24_a_to_b,7634,0,up
p01_r25_a_to_b,6844,0,right
p01_r26_a_to_b,81,0,up
p01_r27_a_to_b,3965,0,left
p01_r04_b_to_a,1204,3,down
p01_r05_b_to_a,4229,3,right
p01_r08_b_to_a,5528,3,up
p01_r09_b_to_a,1401,3,up
p01_r11_b_to_a,4821,3,up
p01_r12_b_to_a,6952,3,down
p01_r14_b_to_a,372,3,down
p01_r17_b_to_a,4908,3,right
p01_r19_b_to_a,2754,3,left
p01_r24_b_to_a,632,3,down
p01_r25_b_to_a,4023,3,left
p01_r26_b_to_a,176,3,down
p01_r27_b_to_a,3851,3,left
p01_r28_b_to_a,391,3,up
p01_r30_b_to_a,4463,3,left
p01_r31_b_to_a,3375,3,right
p01_r32_b_to_a,1370,3,right
p01_r33_b_to_a,2539,3,right
p01_r34_b_to_a,979,3,left
p01_r35_b_to_a,4590,3,up
p02_r01_a_to_b,3067,2,down
p02_r02_a_to_b,3362,2,up
p02_r03_a_to_b,6244,2,up
p02_r04_a_to_b,6271,2,right
p02_r05_a_to_b,317,2,down
p02_r06_a_to_b,1202,2,left
p02_r07_a_to_b,4921,2,right
p02_r08_a_to_b,6264,2,up
p02_r09_a_to_b,6426,2,left
p02_r10_a_to_b,470,2,right
p02_r11_a_to_b,1839,2,left
p02_r13_a_to_b,5237,2,down
p02_r14_a_to_b,409,2,right
p02_r15_a_to_b,6616,2,right
p02_r16_a_to_b,7084,2,down
p02_r18_a_to_b,6028,2,left
p02_r19_a_to_b,6692,2,up
p02_r20_a_to_b,2392,2,down
p02_r21_a_to_b,483,2,up
p02_r22_a_to_b,4735,2,left
p02_r02_b_to_a,691,4,right
p02_r03_b_to_a,6288,4,left
p02_r04_b_to_a,3287,4,right
p02_r05_b_to_a,3512,4,up
p02_r08_b_to_a,3458,4,right
p02_r09_b_to_a,7864,4,up
p02_r10_b_to_a,7475,4,down
p02_r12_b_to_a,171,4,down
p02_r14_b_to_a,5135,4,left
p02_r15_b_to_a,7940,4,left
p02_r16_b_to_a,5062,4,left
p02_r18_b_to_a,5623,4,up
p02_r19_b_to_a,3365,4,right
p02_r20_b_to_a,3763,4,down
p02_r21_b_to_a,7610,4,up
p02_r22_b_to_a,3179,4,left
p02_r23_b_to_a,5077,4,down
p02_r25_b_to_a,1111,4,up
p02_r26_b_to_a,5213,4,right
p02_r27_b_to_a,6097,4,down
p03_r01_a_to_b,5525,8,left
p03_r02_a_to_b,7875,8,up
p03_r03_a_to_b,706,8,up
p03_r05_a_to_b,3412,8,up
p03_r06_a_to_b,667,8,down
p03_r07_a_to_b,7818,8,right
p03_r10_a_to_b,2109,8,down
p03_r11_a_to_b,6434,8,up
p03_r12_a_to_b,4662,8,down
p03_r13_a_to_b,1640,8,right
p03_r14_a_to_b,5451,8,up
p03_r15_a_to_b,4990,8,down
p03_r16_a_to_b,5694,8,left
p03_r17_a_to_b,1783,8,right
p03_r18_a_to_b,2340,8,left
p03_r19_a_to_b,2745,8,down
p03_r20_a_to_b,2844,8,right
p03_r21_a_to_b,4242,8,left
p03_r24_a_to_b,3157,8,left
p03_r25_a_to_b,1833,8,right
p03_r01_b_to_a,319,5,left
p03_r02_b_to_a,2391,5,right
p03_r03_b_to_a,5381,5,right
p03_r04_b_to_a,3863,5,down
p03_r05_b_to_a,6358,5,right
p03_r06_b_to_a,97,5,up
p03_r07_b_to_a,6224,5,left
p03_r08_b_to_a,2268,5,up
p03_r10_b_to_a,7706,5,right
p03_r11_b_to_a,2950,5,right
p03_r12_b_to_a,4290,5,down
p03_r13_b_to_a,7130,5,left
p03_r14_b_to_a,5924,5,up
p03_r16_b_to_a,6922,5,down
p03_r17_b_to_a,2766,5,up
p03_r20_b_to_a,645,5,up
p03_r21_b_to_a,6989,5,left
p03_r22_b_to_a,6716,5,down
p03_r23_b_to_a,7413,5,down
p03_r24_b_to_a,4547,5,left
p04_r01_a_to_b,7995,9,left
p04_r02_a_to_b,1515,9,up
p04_r03_a_to_b,7752,9,down
p04_r04_a_to_b,2655,9,up
p04_r06_a_to_b,2114,9,right
p04_r07_a_to_b,2062,9,up
p04_r08_a_to_b,7380,9,down
p04_r09_a_to_b,5284,9,right
p04_r11_a_to_b,191,9,up
p04_r12_a_to_b,4723,9,left
p04_r13_a_to_b,1430,9,left
p04_r14_a_to_b,3893,9,left
p04_r15_a_to_b,5851,9,right
p04_r16_a_to_b,7938,9,down
p04_r17_a_to_b,4094,9,down
p04_r18_a_to_b,419,9,up
p04_r19_a_to_b,2011,9,left
p04_r20_a_to_b,1411,9,right
p04_r21_a_to_b,5981,9,down
p04_r22_a_to_b,5452,9,right
p04_r01_b_to_a,1667,6,down
p04_r04_b_to_a,7555,6,right
p04_r06_b_to_a,3292,6,up
p04_r08_b_to_a,4093,6,right
p04_r09_b_to_a,7108,6,left
p04_r10_b_to_a,7600,6,down
p04_r11_b_to_a,7781,6,down
p04_r12_b_to_a,7338,6,right
p04_r13_b_to_a,5580,6,up
p04_r14_b_to_a,3494,6,right
p04_r16_b_to_a,920,6,left
p04_r19_b_to_a,6713,6,left
p04_r22_b_to_a,3418,6,down
p04_r23_b_to_a,3777,6,left
p04_r24_b_to_a,3962,6,up
p04_r25_b_to_a,2958,6,right
p04_r26_b_to_a,873,6,down
p04_r27_b_to_a,4254,6,up
p04_r28_b_to_a,5858,6,up
p04_r29_b_to_a,3515,6,left
p05_r01_a_to_b,95,1,right
p05_r02_a_to_b,3937,1,up
p05_r03_a_to_b,6169,1,left
p05_r04_a_to_b,5560,1,down
p05_r05_a_to_b,1115,1,down
p05_r06_a_to_b,6938,1,down
p05_r07_a_to_b,1109,1,up
p05_r10_a_to_b,4640,1,left
p05_r11_a_to_b,825,1,down
p05_r12_a_to_b,6594,1,down
p05_r13_a_to_b,261,1,right
p05_r14_a_to_b,116,1,left
p05_r15_a_to_b,2687,1,left
p05_r16_a_to_b,5256,1,right
p05_r17_a_to_b,1568,1,right
p05_r18_a_to_b,5220,1,right
p05_r19_a_to_b,6954,1,up
p05_r20_a_to_b,2116,1,left
p05_r21_a_to_b,3491,1,up
p05_r22_a_to_b,5092,1,up
p05_r05_b_to_a,4172,7,up
p05_r06_b_to_a,1711,7,right
p05_r07_b_to_a,4403,7,up
p05_r09_b_to_a,1048,7,left
p05_r15_b_to_a,5450,7,left
p05_r16_b_to_a,1579,7,down
p05_r17_b_to_a,1771,7,up
p05_r18_b_to_a,29,7,left
p05_r20_b_to_a,6772,7,left
p05_r21_b_to_a,2746,7,left
p05_r22_b_to_a,1220,7,down
p05_r23_b_to_a,269,7,down
p05_r24_b_to_a,5719,7,right
p05_r25_b_to_a,1956,7,up
p05_r26_b_to_a,2854,7,down
p05_r27_b_to_a,4236,7,right
p05_r28_b_to_a,3404,7,down
p05_r29_b_to_a,2668,7,up
p05_r30_b_to_a,1440,7,right
p05_r32_b_to_a,4308,7,right
