dataset,official_partition,official_index,class_id,class_name,selection_seed
STL-10,train,0,1,bird,6304
STL-10,train,1,5,dog,6304
STL-10,train,2,1,bird,6304
STL-10,train,3,6,horse,6304
STL-10,train,4,3,cat,6304
STL-10,train,5,9,truck,6304
STL-10,train,6,7,monkey,6304
STL-10,train,7,4,deer,6304
STL-10,train,8,5,dog,6304
STL-10,train,9,8,ship,6304
STL-10,train,10,0,airplane,6304
STL-10,train,11,6,horse,6304
STL-10,train,12,0,airplane,6304
STL-10,train,13,8,ship,6304
STL-10,train,15,6,horse,6304
STL-10,train,16,4,deer,6304
STL-10,train,17,6,horse,6304
STL-10,train,18,2,car,6304
STL-10,train,19,2,car,6304
STL-10,train,20,1,bird,6304
STL-10,train,21,1,bird,6304
STL-10,train,22,6,horse,6304
STL-10,train,23,2,car,6304
STL-10,train,25,8,ship,6304
STL-10,train,26,5,dog,6304
STL-10,train,28,5,dog,6304
STL-10,train,30,0,airplane,6304
STL-10,train,31,0,airplane,6304
STL-10,train,32,0,airplane,6304
STL-10,train,33,1,bird,6304
STL-10,train,34,3,cat,6304
STL-10,train,35,6,horse,6304
STL-10,train,36,7,monkey,6304
STL-10,train,37,2,car,6304
STL-10,train,38,1,bird,6304
STL-10,train,40,1,bird,6304
STL-10,train,41,6,horse,6304
STL-10,train,43,3,cat,6304
STL-10,train,44,7,monkey,6304
STL-10,train,45,4,deer,6304
STL-10,train,46,3,cat,6304
STL-10,train,47,0,airplane,6304
STL-10,train,48,6,horse,6304
STL-10,train,49,7,monkey,6304
STL-10,train,50,6,horse,6304
STL-10,train,51,5,dog,6304
STL-10,train,54,6,horse,6304
STL-10,train,55,1,bird,6304
STL-10,train,56,3,cat,6304
STL-10,train,57,6,horse,6304
STL-10,train,60,2,car,6304
STL-10,train,61,9,truck,6304
STL-10,train,62,9,truck,6304
STL-10,train,63,5,dog,6304
STL-10,train,64,1,bird,6304
STL-10,train,65,7,monkey,6304
STL-10,train,66,8,ship,6304
STL-10,train,67,7,monkey,6304
STL-10,train,68,8,ship,6304
STL-10,train,69,8,ship,6304
STL-10,train,70,9,truck,6304
STL-10,train,73,0,airplane,6304
STL-10,train,74,2,car,6304
STL-10,train,75,5,dog,6304
STL-10,train,76,5,dog,6304
STL-10,train,77,7,monkey,6304
STL-10,train,78,8,ship,6304
STL-10,train,80,5,dog,6304
STL-10,train,81,0,airplane,6304
STL-10,train,83,3,cat,6304
STL-10,train,84,2,car,6304
STL-10,train,85,9,truck,6304
STL-10,train,88,8,ship,6304
STL-10,train,90,7,monkey,6304
STL-10,train,92,6,horse,6304
STL-10,train,93,6,horse,6304
STL-10,train,94,6,horse,6304
STL-10,train,95,1,bird,6304
STL-10,train,96,0,airplane,6304
STL-10,train,98,0,airplane,6304
STL-10,train,99,5,dog,6304
STL-10,train,100,2,car,6304
STL-10,train,101,7,monkey,6304
STL-10,train,102,1,bird,6304
STL-10,train,103,0,airplane,6304
STL-10,train,104,0,airplane,6304
STL-10,train,105,8,ship,6304
STL-10,train,106,0,airplane,6304
STL-10,train,107,4,deer,6304
STL-10,train,108,2,car,6304
STL-10,train,109,4,deer,6304
STL-10,train,111,2,car,6304
STL-10,train,112,4,deer,6304
STL-10,train,113,5,dog,6304
STL-10,train,117,4,deer,6304
STL-10,train,119,0,airplane,6304
STL-10,train,120,5,dog,6304
STL-10,train,121,2,car,6304
STL-10,train,122,5,dog,6304
STL-10,train,124,0,airplane,6304
STL-10,train,125,5,dog,6304
STL-10,train,126,3,cat,6304
STL-10,train,127,3,cat,6304
STL-10,train,128,6,horse,6304
STL-10,train,129,3,cat,6304
STL-10,train,130,6,horse,6304
STL-10,train,131,4,deer,6304
STL-10,train,132,8,ship,6304
STL-10,train,133,3,cat,6304
STL-10,train,134,1,bird,6304
STL-10,train,135,3,cat,6304
STL-10,train,136,7,monkey,6304
STL-10,train,137,4,deer,6304
STL-10,train,138,6,horse,6304
STL-10,train,139,0,airplane,6304
STL-10,train,140,9,truck,6304
STL-10,train,143,9,truck,6304
STL-10,train,144,2,car,6304
STL-10,train,145,8,ship,6304
STL-10,train,148,1,bird,6304
STL-10,train,149,9,truck,6304
STL-10,train,150,8,ship,6304
STL-10,train,151,2,car,6304
STL-10,train,152,0,airplane,6304
STL-10,train,153,1,bird,6304
STL-10,train,154,2,car,6304
STL-10,train,155,7,monkey,6304
STL-10,train,158,8,ship,6304
STL-10,train,159,7,monkey,6304
STL-10,train,160,2,car,6304
STL-10,train,161,2,car,6304
STL-10,train,162,7,monkey,6304
STL-10,train,163,8,ship,6304
STL-10,train,164,8,ship,6304
STL-10,train,165,9,truck,6304
STL-10,train,166,2,car,6304
STL-10,train,167,7,monkey,6304
STL-10,train,168,4,deer,6304
STL-10,train,169,3,cat,6304
STL-10,train,170,5,dog,6304
