backbone,predictor,condition,transformed_identifier,clean_official_index,true_class_id,cosine_similarity,clean_predicted_class_id,transformed_predicted_class_id,prediction_consistent
clip_vit_b_32,clip_vit_b_32_linear_head,grayscale,3,3,0,0.898702085018158,0,0,True
clip_vit_b_32,clip_vit_b_32_linear_head,grayscale,29,29,7,0.9999998807907104,7,7,True
clip_vit_b_32,clip_vit_b_32_linear_head,grayscale,35,35,2,0.815886914730072,2,9,False
clip_vit_b_32,clip_vit_b_32_linear_head,grayscale,42,42,0,0.949641227722168,0,0,True
clip_vit_b_32,clip_vit_b_32_linear_head,grayscale,49,49,2,0.8766802549362183,2,2,True
clip_vit_b_32,clip_vit_b_32_linear_head,grayscale,81,81,0,1.0,0,0,True
clip_vit_b_32,clip_vit_b_32_linear_head,grayscale,95,95,1,0.9105801582336426,1,1,True
clip_vit_b_32,clip_vit_b_32_linear_head,grayscale,97,97,5,0.8486294746398926,5,5,True
clip_vit_b_32,clip_vit_b_32_linear_head,grayscale,116,116,1,0.9182164669036865,1,1,True
clip_vit_b_32,clip_vit_b_32_linear_head,grayscale,131,131,9,0.8351224660873413,9,9,True
clip_vit_b_32,clip_vit_b_32_linear_head,grayscale,151,151,8,0.8864666223526001,8,8,True
clip_vit_b_32,clip_vit_b_32_linear_head,grayscale,171,171,4,0.9184257984161377,4,4,True
clip_vit_b_32,clip_vit_b_32_linear_head,grayscale,176,176,3,0.9265481233596802,3,3,True
clip_vit_b_32,clip_vit_b_32_linear_head,grayscale,191,191,9,0.9143543243408203,2,2,True
clip_vit_b_32,clip_vit_b_32_linear_head,grayscale,194,194,8,0.918280839920044,8,8,True
clip_vit_b_32,clip_vit_b_32_linear_head,grayscale,198,198,1,0.9042391180992126,1,1,True
clip_vit_b_32,clip_vit_b_32_linear_head,grayscale,239,239,9,0.9127190709114075,9,9,True
clip_vit_b_32,clip_vit_b_32_linear_head,grayscale,261,261,1,0.9035383462905884,1,1,True
clip_vit_b_32,clip_vit_b_32_linear_head,grayscale,269,269,7,0.8686851859092712,7,7,True
clip_vit_b_32,clip_vit_b_32_linear_head,grayscale,276,276,9,0.8884161114692688,9,9,True
