candidate_id,pair_number,pair_name,schedule_rank,direction_code,direction,content_official_index,content_class_id,content_class_name,style_official_index,style_class_id,style_class_name,shape_class_id,shape_class_name,texture_class_id,texture_class_name,selection_seed,alpha,part_of_initial_generation,output_path,output_sha256,output_width,output_height,pixel_minimum,pixel_maximum,pixel_mean,pixel_standard_deviation,model_predictions_used_for_generation,review_status,rejection_reason,reviewed_by,review_completed_before_model_evaluation
p01_r01_a_to_b,1,airplane__cat,1,a_to_b,airplane_shape__cat_texture,6455,0,airplane,7797,3,cat,0,airplane,3,cat,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r01_a_to_b.png,207a057a312f0b11d280a6201893be22043693f56e1222fc7bf5e3047378b20f,224,224,0.0,1.0,0.638591468334198,0.2319050431251526,False,accepted,,Shaheer Ahmad Masood (SAM),True
p01_r01_b_to_a,1,airplane__cat,1,b_to_a,cat_shape__airplane_texture,7797,3,cat,6455,0,airplane,3,cat,0,airplane,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r01_b_to_a.png,64cd56ec5e0dd95cda1355bab86cd6493b6856967e735b465cc006ef5a0a8262,224,224,0.0,1.0,0.6085613369941711,0.23606416583061218,False,rejected,content object is no longer visually recognizable,Shaheer Ahmad Masood (SAM),True
p01_r02_a_to_b,1,airplane__cat,2,a_to_b,airplane_shape__cat_texture,562,0,airplane,3276,3,cat,0,airplane,3,cat,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r02_a_to_b.png,62d9f604908d28dfc693f6f199cd9a7ce042a1c31ce1c7c3190fbce1994d2340,224,224,0.0,1.0,0.4946392774581909,0.18193531036376953,False,rejected,content object is no longer visually recognizable,Shaheer Ahmad Masood (SAM),True
p01_r02_b_to_a,1,airplane__cat,2,b_to_a,cat_shape__airplane_texture,3276,3,cat,562,0,airplane,3,cat,0,airplane,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r02_b_to_a.png,1d04256e51b49a06ca3cc8910d371c5472cb281ecd427be566afa83a5a4eb7b6,224,224,0.07673943787813187,0.9926359057426453,0.6157185435295105,0.16032616794109344,False,rejected,content object is no longer visually recognizable,Shaheer Ahmad Masood (SAM),True
p01_r03_a_to_b,1,airplane__cat,3,a_to_b,airplane_shape__cat_texture,4130,0,airplane,672,3,cat,0,airplane,3,cat,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r03_a_to_b.png,3d5f80103987041c6ff9454cde9ca5d60b696f4264c7c6b3e68471a04c9d10cf,224,224,0.0,1.0,0.38879260420799255,0.2257857322692871,False,accepted,,Shaheer Ahmad Masood (SAM),True
p01_r03_b_to_a,1,airplane__cat,3,b_to_a,cat_shape__airplane_texture,672,3,cat,4130,0,airplane,3,cat,0,airplane,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r03_b_to_a.png,a309f576f01e76bbd3a8aa88a2356d49d6db44f058936f49c8117a52f529480a,224,224,0.0,0.9746465086936951,0.5214664936065674,0.2366378903388977,False,rejected,content object is no longer visually recognizable,Shaheer Ahmad Masood (SAM),True
p01_r04_a_to_b,1,airplane__cat,4,a_to_b,airplane_shape__cat_texture,2024,0,airplane,1204,3,cat,0,airplane,3,cat,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r04_a_to_b.png,83840dd60ccee71f3e167b0f30cb2d18a79856650c4c48df24e5adb31f0edb72,224,224,0.0,1.0,0.5278511047363281,0.2266639620065689,False,accepted,,Shaheer Ahmad Masood (SAM),True
p01_r04_b_to_a,1,airplane__cat,4,b_to_a,cat_shape__airplane_texture,1204,3,cat,2024,0,airplane,3,cat,0,airplane,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r04_b_to_a.png,8e30fddd88da425dca17efd3046172baedee1c781b8f0d9f439b2f58636d85f2,224,224,0.0,1.0,0.6099947094917297,0.20168516039848328,False,accepted,,Shaheer Ahmad Masood (SAM),True
p01_r05_a_to_b,1,airplane__cat,5,a_to_b,airplane_shape__cat_texture,3,0,airplane,4229,3,cat,0,airplane,3,cat,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r05_a_to_b.png,c302d5101adf87ec86c9353bf72363a51df23493838921d4b9c00fb1f7f27711,224,224,0.0,1.0,0.362644225358963,0.18979524075984955,False,rejected,content object is no longer visually recognizable,Shaheer Ahmad Masood (SAM),True
p01_r05_b_to_a,1,airplane__cat,5,b_to_a,cat_shape__airplane_texture,4229,3,cat,3,0,airplane,3,cat,0,airplane,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r05_b_to_a.png,c6b6888c2d09d35795387460fc17af4b7f99df7e39ed2f7221b4c95804e8c2ac,224,224,0.0,1.0,0.39447641372680664,0.15080732107162476,False,accepted,,Shaheer Ahmad Masood (SAM),True
p01_r06_a_to_b,1,airplane__cat,6,a_to_b,airplane_shape__cat_texture,7150,0,airplane,4609,3,cat,0,airplane,3,cat,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r06_a_to_b.png,74a77eb5edef832ce9325b7671b6f89d3e0173ba11bcac51dd4518ac49d36540,224,224,0.0,1.0,0.3616003096103668,0.1752248853445053,False,accepted,,Shaheer Ahmad Masood (SAM),True
p01_r06_b_to_a,1,airplane__cat,6,b_to_a,cat_shape__airplane_texture,4609,3,cat,7150,0,airplane,3,cat,0,airplane,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r06_b_to_a.png,21934ede734dbca981afe7bbba797f65e3c40c3d23afa3f6920380ba7b26d374,224,224,0.08433502912521362,0.9496162533760071,0.4355267882347107,0.1709180623292923,False,rejected,content object is no longer visually recognizable,Shaheer Ahmad Masood (SAM),True
p01_r07_a_to_b,1,airplane__cat,7,a_to_b,airplane_shape__cat_texture,7372,0,airplane,3562,3,cat,0,airplane,3,cat,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r07_a_to_b.png,38bb9b055fb1e01b43eef529f6b1ba6e3a38d4073b73bea479d24a1fc28f5112,224,224,0.0,1.0,0.5714236497879028,0.19051086902618408,False,accepted,,Shaheer Ahmad Masood (SAM),True
p01_r07_b_to_a,1,airplane__cat,7,b_to_a,cat_shape__airplane_texture,3562,3,cat,7372,0,airplane,3,cat,0,airplane,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r07_b_to_a.png,bd415e853a8e579002e642744fb717c9404052933940552e4b6d756857213126,224,224,0.06454940140247345,1.0,0.8680824041366577,0.16506393253803253,False,rejected,content object is no longer visually recognizable,Shaheer Ahmad Masood (SAM),True
p01_r08_a_to_b,1,airplane__cat,8,a_to_b,airplane_shape__cat_texture,42,0,airplane,5528,3,cat,0,airplane,3,cat,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r08_a_to_b.png,d94cb0d41d3170c61e6ec4a8034c853ce02b20189a59ce3f042318ecf78c65df,224,224,0.0,0.7700850367546082,0.5403722524642944,0.17504142224788666,False,rejected,no perceptible style or texture transfer occurred,Shaheer Ahmad Masood (SAM),True
p01_r08_b_to_a,1,airplane__cat,8,b_to_a,cat_shape__airplane_texture,5528,3,cat,42,0,airplane,3,cat,0,airplane,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r08_b_to_a.png,d737479bbdd49e9350041a912916143c118dd57e0095aaf46429714cfd701527,224,224,0.02463090606033802,0.985515832901001,0.617806077003479,0.1981416493654251,False,accepted,,Shaheer Ahmad Masood (SAM),True
p01_r09_a_to_b,1,airplane__cat,9,a_to_b,airplane_shape__cat_texture,7009,0,airplane,1401,3,cat,0,airplane,3,cat,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r09_a_to_b.png,7153343b405983c6d7c6ea01e3c26d73720dae8ff9bbaa2093c149ca526384fc,224,224,0.1333644837141037,0.70624178647995,0.3421389162540436,0.10429984331130981,False,accepted,,Shaheer Ahmad Masood (SAM),True
p01_r09_b_to_a,1,airplane__cat,9,b_to_a,cat_shape__airplane_texture,1401,3,cat,7009,0,airplane,3,cat,0,airplane,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r09_b_to_a.png,c6f1a0f65ed9778fc68d136fe0fb6781b574546bc53b87cce2f3e1707da18d3b,224,224,0.0,1.0,0.5583590269088745,0.1847144365310669,False,accepted,,Shaheer Ahmad Masood (SAM),True
p01_r10_a_to_b,1,airplane__cat,10,a_to_b,airplane_shape__cat_texture,3876,0,airplane,4330,3,cat,0,airplane,3,cat,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r10_a_to_b.png,87a7b48c96755134fe0af7cf2476dc469c140d2acadc3c2c9e4d2f0046e19fa1,224,224,0.0,1.0,0.46039140224456787,0.22348909080028534,False,rejected,content object is no longer visually recognizable,Shaheer Ahmad Masood (SAM),True
p01_r10_b_to_a,1,airplane__cat,10,b_to_a,cat_shape__airplane_texture,4330,3,cat,3876,0,airplane,3,cat,0,airplane,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r10_b_to_a.png,105d2851cab4dcb66e890d33004c01367b59ca3419090a7087a216f2ea1e5027,224,224,0.0,1.0,0.42238420248031616,0.22019633650779724,False,rejected,content object is no longer visually recognizable,Shaheer Ahmad Masood (SAM),True
p01_r11_a_to_b,1,airplane__cat,11,a_to_b,airplane_shape__cat_texture,3437,0,airplane,4821,3,cat,0,airplane,3,cat,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r11_a_to_b.png,af6815938e27448f9b2ad0f74813dcb3099932fab3b17d14faebd5712a2631c9,224,224,0.055827975273132324,0.8699160218238831,0.39421477913856506,0.188226580619812,False,accepted,,Shaheer Ahmad Masood (SAM),True
p01_r11_b_to_a,1,airplane__cat,11,b_to_a,cat_shape__airplane_texture,4821,3,cat,3437,0,airplane,3,cat,0,airplane,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r11_b_to_a.png,32e40ad62967879eea6649625372d34540f36390dae7c5e239a542a5ae38f077,224,224,0.0,1.0,0.34186580777168274,0.22780930995941162,False,accepted,,Shaheer Ahmad Masood (SAM),True
p01_r12_a_to_b,1,airplane__cat,12,a_to_b,airplane_shape__cat_texture,4615,0,airplane,6952,3,cat,0,airplane,3,cat,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r12_a_to_b.png,6f6f431075b5ccc793218e6c48d07051bf8fa2751d9cad53042b8636cdb11350,224,224,0.0,0.9290755987167358,0.366200715303421,0.1722186952829361,False,accepted,,Shaheer Ahmad Masood (SAM),True
p01_r12_b_to_a,1,airplane__cat,12,b_to_a,cat_shape__airplane_texture,6952,3,cat,4615,0,airplane,3,cat,0,airplane,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r12_b_to_a.png,5da748d8044b2c8e624fd29d01e8aecd3ff2e559b03fcddaf4e72964c5e64b2c,224,224,0.0,1.0,0.5212951898574829,0.21366046369075775,False,accepted,,Shaheer Ahmad Masood (SAM),True
p01_r13_a_to_b,1,airplane__cat,13,a_to_b,airplane_shape__cat_texture,1553,0,airplane,4168,3,cat,0,airplane,3,cat,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r13_a_to_b.png,dcb1f3b8c3fca524f04ccee598a42a9f7e279e781743901d0a02c2f12ec6f03b,224,224,0.0,1.0,0.543455958366394,0.27422526478767395,False,rejected,content object is no longer visually recognizable,Shaheer Ahmad Masood (SAM),True
p01_r13_b_to_a,1,airplane__cat,13,b_to_a,cat_shape__airplane_texture,4168,3,cat,1553,0,airplane,3,cat,0,airplane,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r13_b_to_a.png,176baa7e0445a642064cbf3842afce8b2e8fee67a6b6c2f745d5a65a00dd273a,224,224,0.06457742303609848,1.0,0.6216529011726379,0.23759357631206512,False,rejected,content object is no longer visually recognizable,Shaheer Ahmad Masood (SAM),True
p01_r14_a_to_b,1,airplane__cat,14,a_to_b,airplane_shape__cat_texture,5999,0,airplane,372,3,cat,0,airplane,3,cat,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r14_a_to_b.png,d3d4049b7847df074ba9e558e5756fce233ac2275aade4ece010a59831b4e499,224,224,0.0,0.84940505027771,0.4958532452583313,0.19012048840522766,False,accepted,,Shaheer Ahmad Masood (SAM),True
p01_r14_b_to_a,1,airplane__cat,14,b_to_a,cat_shape__airplane_texture,372,3,cat,5999,0,airplane,3,cat,0,airplane,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r14_b_to_a.png,ed2d83ccf5b906bafaa33e81ad146d2bd264a8fb21f0cea1b2005900bea290e1,224,224,0.19358783960342407,1.0,0.7733076214790344,0.1471920609474182,False,accepted,,Shaheer Ahmad Masood (SAM),True
p01_r15_a_to_b,1,airplane__cat,15,a_to_b,airplane_shape__cat_texture,4675,0,airplane,1431,3,cat,0,airplane,3,cat,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r15_a_to_b.png,2aa2968f9dfee7a864e7d5ec73a02e26ff7a08f30038b3eb93dc44dbc551c339,224,224,0.0,1.0,0.3183034658432007,0.24372035264968872,False,accepted,,Shaheer Ahmad Masood (SAM),True
p01_r15_b_to_a,1,airplane__cat,15,b_to_a,cat_shape__airplane_texture,1431,3,cat,4675,0,airplane,3,cat,0,airplane,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r15_b_to_a.png,27700d6014809f3bee98d407a78b541ba8e0be401b6d6ded87cabcc5701bf5d5,224,224,0.0587373785674572,0.9749889373779297,0.4368239939212799,0.2049373984336853,False,rejected,content object is no longer visually recognizable,Shaheer Ahmad Masood (SAM),True
p01_r16_a_to_b,1,airplane__cat,16,a_to_b,airplane_shape__cat_texture,4785,0,airplane,7793,3,cat,0,airplane,3,cat,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r16_a_to_b.png,07cbc3de7e52dcf670cdad226df2c200449f1d5b855f70a9a46afb8701a337b0,224,224,0.0,1.0,0.46680518984794617,0.30136919021606445,False,accepted,,Shaheer Ahmad Masood (SAM),True
p01_r16_b_to_a,1,airplane__cat,16,b_to_a,cat_shape__airplane_texture,7793,3,cat,4785,0,airplane,3,cat,0,airplane,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r16_b_to_a.png,6406f5ecd327d181e6da2426d1861ec9685712ba619e7c8c726f8f720f385628,224,224,0.0,1.0,0.46219944953918457,0.32487228512763977,False,rejected,content object is no longer visually recognizable,Shaheer Ahmad Masood (SAM),True
p01_r17_a_to_b,1,airplane__cat,17,a_to_b,airplane_shape__cat_texture,4617,0,airplane,4908,3,cat,0,airplane,3,cat,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r17_a_to_b.png,7391e64199b1bce09af36fe699e962c8f355bdf98dd4ce24372cc29864641a85,224,224,0.0,0.8443210124969482,0.5535685420036316,0.125223308801651,False,rejected,content object is no longer visually recognizable,Shaheer Ahmad Masood (SAM),True
p01_r17_b_to_a,1,airplane__cat,17,b_to_a,cat_shape__airplane_texture,4908,3,cat,4617,0,airplane,3,cat,0,airplane,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r17_b_to_a.png,be63f6824cdb5d034b5ff14f697c617fd68c437c1fd00f5c738fe0f241247e78,224,224,0.11192654818296432,0.920043408870697,0.6103790402412415,0.11132150143384933,False,accepted,,Shaheer Ahmad Masood (SAM),True
p01_r18_a_to_b,1,airplane__cat,18,a_to_b,airplane_shape__cat_texture,1175,0,airplane,738,3,cat,0,airplane,3,cat,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r18_a_to_b.png,a03ba80be9f0648b9e79d19dfe7cfabf677d053d0add1aa3f26368a7bcb80aba,224,224,0.0,1.0,0.49998122453689575,0.2080998569726944,False,accepted,,Shaheer Ahmad Masood (SAM),True
p01_r18_b_to_a,1,airplane__cat,18,b_to_a,cat_shape__airplane_texture,738,3,cat,1175,0,airplane,3,cat,0,airplane,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r18_b_to_a.png,e656777beaa92858a3c58263beddb238a87f6b3c05e30460cd7dc30f9215fee3,224,224,0.0371345691382885,0.8421910405158997,0.5028140544891357,0.16874033212661743,False,rejected,content object is no longer visually recognizable,Shaheer Ahmad Masood (SAM),True
p01_r19_a_to_b,1,airplane__cat,19,a_to_b,airplane_shape__cat_texture,1648,0,airplane,2754,3,cat,0,airplane,3,cat,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r19_a_to_b.png,047f0516711221f88a4dfd7cfad0f32c3f13189b7c89fdd300f7d94f9e6bf88f,224,224,0.0,1.0,0.528805673122406,0.2378123551607132,False,accepted,,Shaheer Ahmad Masood (SAM),True
p01_r19_b_to_a,1,airplane__cat,19,b_to_a,cat_shape__airplane_texture,2754,3,cat,1648,0,airplane,3,cat,0,airplane,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r19_b_to_a.png,00a1079e379eb4a5e7ed20e5fecc12e17a81fc21c295d93b05bc0459fc9e2b15,224,224,0.0,1.0,0.5445382595062256,0.2436693012714386,False,accepted,,Shaheer Ahmad Masood (SAM),True
p01_r20_a_to_b,1,airplane__cat,20,a_to_b,airplane_shape__cat_texture,5912,0,airplane,2536,3,cat,0,airplane,3,cat,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r20_a_to_b.png,1660bafcaab1c8f7501e9609ddfbefd850499c332d09228e69e9787f5b71056e,224,224,0.0,0.9897855520248413,0.5067756175994873,0.1807655692100525,False,rejected,content object is no longer visually recognizable,Shaheer Ahmad Masood (SAM),True
p01_r20_b_to_a,1,airplane__cat,20,b_to_a,cat_shape__airplane_texture,2536,3,cat,5912,0,airplane,3,cat,0,airplane,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r20_b_to_a.png,c703c707de91d627aedf8a319a8af2e5e75fcccd12f987389720ca1974aafa7e,224,224,0.0,1.0,0.6611846089363098,0.17437662184238434,False,rejected,content object is no longer visually recognizable,Shaheer Ahmad Masood (SAM),True
p02_r01_a_to_b,2,car__deer,1,a_to_b,car_shape__deer_texture,3067,2,car,2757,4,deer,2,car,4,deer,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p02_r01_a_to_b.png,1dfec0b58bc767dec53d605feb6fbddc351585787f614d820348e9127d3f9309,224,224,0.0,1.0,0.4143468737602234,0.2071029543876648,False,accepted,,Shaheer Ahmad Masood (SAM),True
p02_r01_b_to_a,2,car__deer,1,b_to_a,deer_shape__car_texture,2757,4,deer,3067,2,car,4,deer,2,car,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p02_r01_b_to_a.png,1106e66e66984ff4bfa83ad85649d978072296f387d23f72e32bb86ec4b66285,224,224,0.0,0.9836432933807373,0.3781486749649048,0.23584876954555511,False,rejected,object is severely obscured or structurally corrupted,Shaheer Ahmad Masood (SAM),True
p02_r02_a_to_b,2,car__deer,2,a_to_b,car_shape__deer_texture,3362,2,car,691,4,deer,2,car,4,deer,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p02_r02_a_to_b.png,62d3d8ce7aee06434391b4e9af4884ceef13c6583cc64f5aecdbc8e0b2af4161,224,224,0.0,1.0,0.4290805757045746,0.23321449756622314,False,accepted,,Shaheer Ahmad Masood (SAM),True
p02_r02_b_to_a,2,car__deer,2,b_to_a,deer_shape__car_texture,691,4,deer,3362,2,car,4,deer,2,car,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p02_r02_b_to_a.png,ff0ce433f2b1452ed8a242eb8b4e293326a6f8a1d227b0782ddd864e64c295ea,224,224,0.0,1.0,0.4505899250507355,0.2068651169538498,False,accepted,,Shaheer Ahmad Masood (SAM),True
p02_r03_a_to_b,2,car__deer,3,a_to_b,car_shape__deer_texture,6244,2,car,6288,4,deer,2,car,4,deer,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p02_r03_a_to_b.png,ed4f54a15a2cb43f53c2354f51412d0fa743bf719f5c6e1f108259435b931345,224,224,0.0,1.0,0.44573667645454407,0.20206424593925476,False,accepted,,Shaheer Ahmad Masood (SAM),True
p02_r03_b_to_a,2,car__deer,3,b_to_a,deer_shape__car_texture,6288,4,deer,6244,2,car,4,deer,2,car,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p02_r03_b_to_a.png,0fc0bfdb0c0a2e9e7281e06cc3329e413be7ea9b2ca8ec23e34aa53d9f5981d7,224,224,0.0,1.0,0.3689999580383301,0.21771511435508728,False,accepted,,Shaheer Ahmad Masood (SAM),True
p02_r04_a_to_b,2,car__deer,4,a_to_b,car_shape__deer_texture,6271,2,car,3287,4,deer,2,car,4,deer,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p02_r04_a_to_b.png,8ce5fa970abe6971b5fb7793842d553b2db26baecc63487b65b1779ca64f2f85,224,224,0.0,1.0,0.35674795508384705,0.2525421679019928,False,accepted,,Shaheer Ahmad Masood (SAM),True
p02_r04_b_to_a,2,car__deer,4,b_to_a,deer_shape__car_texture,3287,4,deer,6271,2,car,4,deer,2,car,6304,0.8,True,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p02_r04_b_to_a.png,1af533df096d05889513df4911072355044ba862a0f3dc284476d2ff9a6edec5,224,224,0.0,1.0,0.41351377964019775,0.25551414489746094,False,accepted,,Shaheer Ahmad Masood (SAM),True
