official_index,displacement_pixels,direction,transformed_rgb_sha256
3,16,down,fefb9395e97e0fa08dbad7744a5c4dd1b8923c71fe8a06b34e281adb105150f8
29,16,down,c1dbb9b2d0ff113fabaa274727d242699ea3235e6d0e6a10b29f028f84795f0d
35,16,down,fcf11c39afc5474393ad605d29f49e6de5d2ae10dc29045f034672bce164c794
42,16,down,8a599ee67715c58fe53c3ca8a32d6b1c617a511d72d33a55f7b6c4c819114e4e
49,16,down,95bae98b1f10af152cead55a61709c76978ff5de6a1bd00013baf622133cc8b2
81,16,down,563860b7b10cef219ad51a90d45f44a7b625912e95115034f67ce44f797c7477
95,16,down,66d548d41393522a914145b6eb9a94294b9044afc5882b86faa3d5e562182dd3
97,16,down,c5ee566d3ce3457f8cce8399d20328bfbd737799cac1a8d15bcf77a5d998a4e2
116,16,down,c976b10a759d5f73dbfe3db4124f6c18cb5415dd2fbb0eef5574a6f70d3788f5
131,16,down,398b2c760c87cd2697dbe104db3d81190e004b956fcbb6aa4b2d20e77c9d99cf
151,16,down,d64152645016c67d6e336d72dfbd6ac6f5ec93a1ee86a890c7a24cf34b18a62f
171,16,down,6bec72cf4d80c3e92b85d88704dc112fc228adebc80e207a48ff67c1bb36eb18
176,16,down,2f5b9823efae5ccde9c9f5d0ce74d676773aab4685c7589bd19e7f17e2007a26
191,16,down,bee77c00898b5339bba48133cc0617cc6277c663677391bf44bde5ac99a416c0
194,16,down,0baa0de726b2fbd5e67a770137d82220e0a5ea1c408bb5dd17bed65a3c9e7b45
198,16,down,ac6a479d5e2f5b522cd5f36bf8b1e55b05f17eeba486fb8289df03d01b4bd745
239,16,down,6e2d27bd3e7e62b0ebcd162465ba235b174ed8d228816d69aaf0dc823a0641c7
261,16,down,82bb81efebf1ce0a194d34aa8304ec50e6152cac4ba0d131078d2114716605dd
269,16,down,fb1e12e66eb3452fd6ec581549166b5519e50a0560de5666dcb4ce89215d03fe
276,16,down,f6322fd98abbcc06beb3382dc5adbedd2e228d805ac8ce008924f4d18b3e5c08
303,16,down,0082d0422e86e8cfd51f8de193764ce6295054d3f4336dc938eee86b13155c63
304,16,down,21cc53008b47b246f48e555258b3348716307d8d6c6b6af0394be60e963d5484
317,16,down,68e82bae2b6d81cb514e07e034996ed8494525c300a19fe3807be392024fce0e
319,16,down,0473788c1f62aeda64a0d32f4b00465cb90e099d754290fbca457d92f97f7d98
323,16,down,564fa74c70ea4bd419c6eaa57455abae933491dd106e0a38701d18355ef3cfe1
365,16,down,9bbaea4a3174cdf671fba7ee51de506a432ef27f739b9de33cf51e28795183e1
370,16,down,00fa5530e2b9b9b0b3f4fd1a9a749a79d66f2dfa4c0bcd893524258ff0292c15
372,16,down,0d212e662187da4b3b961c3f8ae2e53122f4709a9ee3524ed33da5eb26495f64
378,16,down,05df5ed24652c41dfc1f5bdac0a974efe6b3f6a4b92548acadf0418df4a7c80c
391,16,down,5fe48d056af00681af7077424bd9ed4fe0dc66c33e829bdc64af90c487d12f51
409,16,down,f144a81077e59031afcb0b419f4e53968341c0642b0bfdf0ce7541a71f215a50
419,16,down,e488aa992b8bb82c7d6378724c051a836eeee303d34898f85b7ece7c579d99c4
