dataset,official_partition,official_index,class_id,class_name,selection_seed
STL-10,test,3,0,airplane,6304
STL-10,test,29,7,monkey,6304
STL-10,test,35,2,car,6304
STL-10,test,42,0,airplane,6304
STL-10,test,49,2,car,6304
STL-10,test,81,0,airplane,6304
STL-10,test,95,1,bird,6304
STL-10,test,97,5,dog,6304
STL-10,test,116,1,bird,6304
STL-10,test,131,9,truck,6304
STL-10,test,151,8,ship,6304
STL-10,test,171,4,deer,6304
STL-10,test,176,3,cat,6304
STL-10,test,191,9,truck,6304
STL-10,test,194,8,ship,6304
STL-10,test,198,1,bird,6304
STL-10,test,239,9,truck,6304
STL-10,test,261,1,bird,6304
STL-10,test,269,7,monkey,6304
STL-10,test,276,9,truck,6304
STL-10,test,303,9,truck,6304
STL-10,test,304,1,bird,6304
STL-10,test,317,2,car,6304
STL-10,test,319,5,dog,6304
STL-10,test,323,7,monkey,6304
STL-10,test,365,3,cat,6304
STL-10,test,370,7,monkey,6304
STL-10,test,372,3,cat,6304
STL-10,test,378,5,dog,6304
STL-10,test,391,3,cat,6304
STL-10,test,409,2,car,6304
STL-10,test,419,9,truck,6304
STL-10,test,449,6,horse,6304
STL-10,test,470,2,car,6304
STL-10,test,483,2,car,6304
STL-10,test,484,0,airplane,6304
STL-10,test,506,4,deer,6304
STL-10,test,545,6,horse,6304
STL-10,test,562,0,airplane,6304
STL-10,test,568,5,dog,6304
STL-10,test,603,9,truck,6304
STL-10,test,632,3,cat,6304
STL-10,test,645,5,dog,6304
STL-10,test,667,8,ship,6304
STL-10,test,672,3,cat,6304
STL-10,test,677,3,cat,6304
STL-10,test,685,5,dog,6304
STL-10,test,691,4,deer,6304
STL-10,test,706,8,ship,6304
STL-10,test,714,2,car,6304
STL-10,test,716,8,ship,6304
STL-10,test,738,3,cat,6304
STL-10,test,739,8,ship,6304
STL-10,test,766,4,deer,6304
STL-10,test,791,3,cat,6304
STL-10,test,805,9,truck,6304
STL-10,test,825,1,bird,6304
STL-10,test,852,9,truck,6304
STL-10,test,855,4,deer,6304
STL-10,test,873,6,horse,6304
STL-10,test,890,6,horse,6304
STL-10,test,920,6,horse,6304
STL-10,test,929,6,horse,6304
STL-10,test,962,8,ship,6304
STL-10,test,964,6,horse,6304
STL-10,test,977,6,horse,6304
STL-10,test,979,3,cat,6304
STL-10,test,981,2,car,6304
STL-10,test,1022,9,truck,6304
STL-10,test,1032,7,monkey,6304
STL-10,test,1048,7,monkey,6304
STL-10,test,1090,1,bird,6304
STL-10,test,1095,5,dog,6304
STL-10,test,1109,1,bird,6304
STL-10,test,1111,4,deer,6304
STL-10,test,1115,1,bird,6304
STL-10,test,1124,4,deer,6304
STL-10,test,1129,8,ship,6304
STL-10,test,1175,0,airplane,6304
STL-10,test,1202,2,car,6304
STL-10,test,1204,3,cat,6304
STL-10,test,1211,4,deer,6304
STL-10,test,1220,7,monkey,6304
STL-10,test,1230,1,bird,6304
STL-10,test,1247,8,ship,6304
STL-10,test,1263,3,cat,6304
STL-10,test,1266,4,deer,6304
STL-10,test,1287,7,monkey,6304
STL-10,test,1296,7,monkey,6304
STL-10,test,1370,3,cat,6304
STL-10,test,1389,0,airplane,6304
STL-10,test,1401,3,cat,6304
STL-10,test,1403,2,car,6304
STL-10,test,1411,9,truck,6304
STL-10,test,1429,4,deer,6304
STL-10,test,1430,9,truck,6304
STL-10,test,1431,3,cat,6304
STL-10,test,1436,1,bird,6304
STL-10,test,1440,7,monkey,6304
STL-10,test,1468,9,truck,6304
STL-10,test,1473,7,monkey,6304
STL-10,test,1515,9,truck,6304
STL-10,test,1520,2,car,6304
STL-10,test,1531,3,cat,6304
STL-10,test,1534,6,horse,6304
STL-10,test,1552,5,dog,6304
STL-10,test,1553,0,airplane,6304
STL-10,test,1563,3,cat,6304
STL-10,test,1568,1,bird,6304
STL-10,test,1579,7,monkey,6304
STL-10,test,1586,2,car,6304
STL-10,test,1596,0,airplane,6304
STL-10,test,1626,5,dog,6304
STL-10,test,1640,8,ship,6304
STL-10,test,1644,5,dog,6304
STL-10,test,1648,0,airplane,6304
STL-10,test,1654,9,truck,6304
STL-10,test,1667,6,horse,6304
STL-10,test,1703,7,monkey,6304
STL-10,test,1711,7,monkey,6304
STL-10,test,1771,7,monkey,6304
STL-10,test,1783,8,ship,6304
STL-10,test,1814,2,car,6304
STL-10,test,1833,8,ship,6304
STL-10,test,1836,9,truck,6304
