backbone,predictor,condition,transformed_identifier,clean_official_index,true_class_id,cosine_similarity,clean_predicted_class_id,transformed_predicted_class_id,prediction_consistent
vit_b_16,vit_b_16_linear_head,grayscale,3,3,0,0.7551721930503845,0,0,True
vit_b_16,vit_b_16_linear_head,grayscale,29,29,7,1.0,7,7,True
vit_b_16,vit_b_16_linear_head,grayscale,35,35,2,0.5634056925773621,2,2,True
vit_b_16,vit_b_16_linear_head,grayscale,42,42,0,0.98590487241745,0,0,True
vit_b_16,vit_b_16_linear_head,grayscale,49,49,2,0.7826922535896301,2,2,True
vit_b_16,vit_b_16_linear_head,grayscale,81,81,0,0.9999999403953552,0,0,True
vit_b_16,vit_b_16_linear_head,grayscale,95,95,1,0.8267848491668701,1,1,True
vit_b_16,vit_b_16_linear_head,grayscale,97,97,5,0.7863736152648926,5,5,True
vit_b_16,vit_b_16_linear_head,grayscale,116,116,1,0.6480365991592407,1,1,True
vit_b_16,vit_b_16_linear_head,grayscale,131,131,9,0.7785348296165466,9,9,True
vit_b_16,vit_b_16_linear_head,grayscale,151,151,8,0.6235601305961609,8,8,True
vit_b_16,vit_b_16_linear_head,grayscale,171,171,4,0.8576556444168091,4,4,True
vit_b_16,vit_b_16_linear_head,grayscale,176,176,3,0.7156840562820435,3,3,True
vit_b_16,vit_b_16_linear_head,grayscale,191,191,9,0.8398572206497192,9,9,True
vit_b_16,vit_b_16_linear_head,grayscale,194,194,8,0.8057554960250854,8,8,True
vit_b_16,vit_b_16_linear_head,grayscale,198,198,1,0.6489758491516113,1,1,True
vit_b_16,vit_b_16_linear_head,grayscale,239,239,9,0.7768402099609375,9,9,True
vit_b_16,vit_b_16_linear_head,grayscale,261,261,1,0.8805192708969116,5,1,False
vit_b_16,vit_b_16_linear_head,grayscale,269,269,7,0.6255927681922913,7,7,True
vit_b_16,vit_b_16_linear_head,grayscale,276,276,9,0.7310395836830139,9,9,True
vit_b_16,vit_b_16_linear_head,grayscale,303,303,9,0.9135892987251282,9,9,True
vit_b_16,vit_b_16_linear_head,grayscale,304,304,1,0.5591353178024292,1,1,True
vit_b_16,vit_b_16_linear_head,grayscale,317,317,2,0.8080453872680664,2,2,True
vit_b_16,vit_b_16_linear_head,grayscale,319,319,5,0.7182187438011169,5,5,True
vit_b_16,vit_b_16_linear_head,grayscale,323,323,7,0.8686384558677673,7,7,True
vit_b_16,vit_b_16_linear_head,grayscale,365,365,3,0.7217518091201782,3,3,True
vit_b_16,vit_b_16_linear_head,grayscale,370,370,7,0.7966296672821045,7,7,True
vit_b_16,vit_b_16_linear_head,grayscale,372,372,3,0.7406811714172363,3,3,True
vit_b_16,vit_b_16_linear_head,grayscale,378,378,5,0.8731552958488464,5,5,True
vit_b_16,vit_b_16_linear_head,grayscale,391,391,3,0.8138518929481506,3,3,True
vit_b_16,vit_b_16_linear_head,grayscale,409,409,2,0.8391626477241516,2,2,True
vit_b_16,vit_b_16_linear_head,grayscale,419,419,9,0.828729510307312,9,9,True
vit_b_16,vit_b_16_linear_head,grayscale,449,449,6,0.7057786583900452,6,6,True
vit_b_16,vit_b_16_linear_head,grayscale,470,470,2,0.8498193025588989,2,2,True
vit_b_16,vit_b_16_linear_head,grayscale,483,483,2,0.7424283623695374,2,2,True
vit_b_16,vit_b_16_linear_head,grayscale,484,484,0,0.7065845727920532,0,0,True
vit_b_16,vit_b_16_linear_head,grayscale,506,506,4,0.6941449046134949,4,4,True
vit_b_16,vit_b_16_linear_head,grayscale,545,545,6,0.7877588272094727,6,6,True
vit_b_16,vit_b_16_linear_head,grayscale,562,562,0,0.8843898773193359,0,0,True
vit_b_16,vit_b_16_linear_head,grayscale,568,568,5,0.9053911566734314,5,5,True
vit_b_16,vit_b_16_linear_head,grayscale,603,603,9,0.8557892441749573,9,9,True
vit_b_16,vit_b_16_linear_head,grayscale,632,632,3,0.8158475160598755,3,3,True
vit_b_16,vit_b_16_linear_head,grayscale,645,645,5,0.6111770272254944,5,5,True
vit_b_16,vit_b_16_linear_head,grayscale,667,667,8,0.7327136993408203,8,8,True
vit_b_16,vit_b_16_linear_head,grayscale,672,672,3,0.8205531239509583,3,3,True
vit_b_16,vit_b_16_linear_head,grayscale,677,677,3,0.8834354877471924,3,3,True
vit_b_16,vit_b_16_linear_head,grayscale,685,685,5,0.695265531539917,5,5,True
vit_b_16,vit_b_16_linear_head,grayscale,691,691,4,0.6709808111190796,4,4,True
vit_b_16,vit_b_16_linear_head,grayscale,706,706,8,0.7733412384986877,8,8,True
vit_b_16,vit_b_16_linear_head,grayscale,714,714,2,0.750943660736084,2,2,True
vit_b_16,vit_b_16_linear_head,grayscale,716,716,8,0.8906422853469849,8,8,True
vit_b_16,vit_b_16_linear_head,grayscale,738,738,3,0.6647316217422485,3,3,True
vit_b_16,vit_b_16_linear_head,grayscale,739,739,8,0.6854445338249207,8,8,True
vit_b_16,vit_b_16_linear_head,grayscale,766,766,4,0.6735960245132446,6,6,True
vit_b_16,vit_b_16_linear_head,grayscale,791,791,3,0.8894773721694946,3,3,True
vit_b_16,vit_b_16_linear_head,grayscale,805,805,9,0.7180348634719849,9,9,True
vit_b_16,vit_b_16_linear_head,grayscale,825,825,1,0.8744574785232544,1,1,True
vit_b_16,vit_b_16_linear_head,grayscale,852,852,9,0.8897349834442139,9,9,True
vit_b_16,vit_b_16_linear_head,grayscale,855,855,4,0.8553440570831299,4,4,True
vit_b_16,vit_b_16_linear_head,grayscale,873,873,6,0.809057891368866,6,6,True
vit_b_16,vit_b_16_linear_head,grayscale,890,890,6,0.8050260543823242,6,6,True
vit_b_16,vit_b_16_linear_head,grayscale,920,920,6,0.8151655197143555,6,6,True
vit_b_16,vit_b_16_linear_head,grayscale,929,929,6,0.7546679973602295,6,6,True
vit_b_16,vit_b_16_linear_head,grayscale,962,962,8,0.6751889586448669,8,8,True
vit_b_16,vit_b_16_linear_head,grayscale,964,964,6,0.7336013913154602,6,6,True
vit_b_16,vit_b_16_linear_head,grayscale,977,977,6,0.5845176577568054,6,6,True
vit_b_16,vit_b_16_linear_head,grayscale,979,979,3,0.7144327759742737,3,3,True
vit_b_16,vit_b_16_linear_head,grayscale,981,981,2,0.8351408243179321,2,2,True
vit_b_16,vit_b_16_linear_head,grayscale,1022,1022,9,0.6407367587089539,9,2,False
vit_b_16,vit_b_16_linear_head,grayscale,1032,1032,7,0.6776958703994751,7,7,True
vit_b_16,vit_b_16_linear_head,grayscale,1048,1048,7,0.8466842770576477,7,7,True
vit_b_16,vit_b_16_linear_head,grayscale,1090,1090,1,0.7755647897720337,1,1,True
