official_index,displacement_pixels,direction,transformed_rgb_sha256
3,16,right,fffa2da6b6190e1f52ec1fb420ab9ce8fa5ae92861b64ff842257e273cd005fb
29,16,right,20b1ace68c81fcca6af45fe18369a4c7f1ff671cb7f91090b61eff71a9bda19c
35,16,right,c9c21650e57fb718537c5c6654573610318a2fe640058a7b00fbcc989736c226
42,16,right,3cd9f385549f68cbfbb826c0012ebc0981f8f67c06efc5ed88ff471ef35537a9
49,16,right,8d75257356245671e59ff56a56e3707505497e7105b2583808c35c818cf80835
81,16,right,bed3e30705bf55396179eafbb9d297d4ebd130609236150895db136a49fbb12b
95,16,right,9167556a9b1acbf5e43e166e98d7f5a4c34c181f99c2ce532807bbf3d8966112
97,16,right,f04b67f8ebe3a10ad37463f6242ae9ff2d896ce5da39300b3d5a2333edae82ff
116,16,right,4622a9ea8fdd7690b053de6d2b5e4ab001dfee5204400c91d18d728d57130474
131,16,right,c419d91c7cb1d9b1e79fbd78bfb1c00c242c802236f407f72e943c6d3ec68fd1
151,16,right,d5d2a17dcbf58d5581d252a7100c9ba9353307ffddf1f4c74cc572edb9a39784
171,16,right,5485d10a77c382aa0ab6076bea20a93458e841bed052fb75f06f7f272d22e513
176,16,right,0149a3e5daa258d6c88468152b649345081a252c7bc183c42d964ca36ce4ede5
191,16,right,99d4253f2a5f07b28da63b9d74f23b2ffe41bb05b494ee27b2d6fa5c249d9966
194,16,right,a4cbad5ca4300b30ec9614b92b79dbada6db5039e9ba932267a7717b7d7599b6
198,16,right,8f143202707166ecec4294ccd35e6105d1d1aaeb19a721841be91be50ecb2c15
239,16,right,df7f69e2cbdf1594fa53cd4a4c6b790769699b16639d9584d89ce64cdde20d18
261,16,right,308ecd62a76d787e9a6944ba7eb2c571b03bbf72f6912001b470fdd7c005fd33
269,16,right,1e56055fa958972846f95ab1e034b8a0429d98d55052e145c8d9aedb9b4f0695
276,16,right,0af08a6294c9116c485a7d8584db64ec3cdfae90c5d43df66349ccdc53ff948e
303,16,right,a30de36cb7481db5f7be5e7c1b98bcae4197ca6a8832dae9e33085ef62407ebe
304,16,right,ed9b7ea6f15a6854b020732e05d3fa634ae232f921ddd0bda0d5019787ec04ac
