official_index,displacement_pixels,direction,transformed_rgb_sha256
3,32,left,c55bb5900950a535aa4cecf265ff09dad3882a3f12776ae17435cc3de5ddd674
29,32,left,1b7fe87b2d2747f5549a1790b479660be73bb247671748e3338d9a5e86bff51d
35,32,left,ee7f2f4213b760dea39a04aea653d3293408aa60a8ff38399cf309af5323641f
42,32,left,6f5441f26c8e8365467a26ddd8e56ac373a9c907624829f80715079ea584dfb9
49,32,left,003ec1f42f2962ab5f2e7ddc06c2a42d427ab86a5d76d167ba2a5145eaada9e4
81,32,left,97055514c0eee84421b40316d0273e9280a6a31a8cf76847d68bd3169d6a4608
95,32,left,147faf323906771b76fdcfb8ee01874480055ef7e2a5915fa82717d392ec415b
97,32,left,6e743cb5de5670bd83a789268cb80885b9cb9871672c8d30941585e681bd5aef
116,32,left,a8944d1a8dfd633721fa8d4386588daa87e21187ae0ea11e62c57d4eb7701439
131,32,left,a6aefca87ac0372582fc7bc2a45d3a60455fa47d3512ec66722c067b1516e8da
151,32,left,4f73a6c667dc05e82e3331cb50d6df05d2122cc998559fbd81874d6ff04a2fde
171,32,left,01714de473e7835a01840cc6253b5bdcffa54c324f32d8a98a3dfed93004f881
176,32,left,2a6acd4f5392ee69a25a9511f33ae7d13fe742050a6a09029bac31208952cb1e
191,32,left,8416dae6c2baa562318921e305fca5c308a416cb03c22a49a4d594a4e194281f
194,32,left,dad7f02a6d7a3f0d09ae84f2200290c9e827d257e5222201c0326a51c3a6180c
198,32,left,980c553d90cfed7243219562d634045e24afe60d2cef9553b2091accae6b223a
239,32,left,01169caac057d03ea7ad98c1fef126d9a73cab8275abf3f64e41d9d3d26a8177
261,32,left,ff3b018c3a4f46a0c29120bf5bcd4652dc7f230eb55dd271b8fb2f8adcd18c0a
269,32,left,aa7726ec5311dbf8c81d586e55dc0f41972aea0d361c11282553161310435000
276,32,left,fc8ffd70d667a8503db64a6bc2a56fac418c1cc1e69d68d2c835425942253b0e
303,32,left,43469f787ad7a815978dadcaaa3e18d8eaa283d9050c8d75957ad42d5856950e
304,32,left,295a2f3a4ec3511bb8292d4ef25b38d288078cb823a078dc02f55e39b1764019
317,32,left,1f13a8ab72cba8427d7127f50a0fce2a692bca5154ef4e5e3bb04f8d759394d6
319,32,left,637863fadbb1ec37366d1c2e4b1d8f9fcf4457cfbe10c809c621513d28f147c0
323,32,left,34d3ba483ae235196b293484353bac69585f01e84a64f01c359adb018277c11e
365,32,left,3bcd8eeec64d0aa3951b89419febdf7fcf7e2b2f6a6135584e75484a08458019
370,32,left,0e833ed56d558b651c12cfe3f7106b7fe2dbd326ea779c0e4d1c3e73159dd007
372,32,left,280a24d2ba8279ead26569902cad0752628e9178c36d8c8ec3fa7c96694091e2
378,32,left,e2f2802a31f5298cee9a5a76f8bc27c4a33339467d55373f34df4bba5fba39f6
391,32,left,66679287158f91011eb41a754c2f5d0767831c9feb4257cb7204b1c19dcd568d
409,32,left,176cc79d37866b87e0bac19065190d18d26beb46eb7e1ee5fecb24459dafd4fb
